"model_f","prompt_id","graph_id","control","margin"
"Gemma","g064_exception_override",64,"No intervention",-1.3125
"Gemma","g064_exception_override",64,"Mechanism-aware policy",-0.9140625
"Gemma","g067_closure_update",67,"No intervention",1.6796875
"Gemma","g067_closure_update",67,"Mechanism-aware policy",1.9296875
"Gemma","g067_closure_override",67,"No intervention",-1.6953125
"Gemma","g067_closure_override",67,"Mechanism-aware policy",-0.4765625
"Gemma","g067_exception_override",67,"No intervention",-2.4609375
"Gemma","g067_exception_override",67,"Mechanism-aware policy",-1.3359375
"Gemma","g068_closure_update",68,"No intervention",0.8203125
"Gemma","g068_closure_update",68,"Mechanism-aware policy",0.84375
"Gemma","g068_closure_override",68,"No intervention",-2.0625
"Gemma","g068_closure_override",68,"Mechanism-aware policy",-1.078125
"Gemma","g068_exception_override",68,"No intervention",-1.6484375
"Gemma","g068_exception_override",68,"Mechanism-aware policy",-1.2265625
"Gemma","g069_closure_update",69,"No intervention",2.7109375
"Gemma","g069_closure_update",69,"Mechanism-aware policy",2.7421875
"Gemma","g069_closure_override",69,"No intervention",-0.703125
"Gemma","g069_closure_override",69,"Mechanism-aware policy",0.1328125
"Gemma","g069_exception_override",69,"No intervention",-0.578125
"Gemma","g069_exception_override",69,"Mechanism-aware policy",0
"Gemma","g073_closure_update",73,"No intervention",1.6015625
"Gemma","g073_closure_update",73,"Mechanism-aware policy",1.796875
"Gemma","g073_closure_override",73,"No intervention",-2.3828125
"Gemma","g073_closure_override",73,"Mechanism-aware policy",-1.5
"Gemma","g073_exception_override",73,"No intervention",-2.6796875
"Gemma","g073_exception_override",73,"Mechanism-aware policy",-1.65625
"Gemma","g077_closure_update",77,"No intervention",2.1015625
"Gemma","g077_closure_update",77,"Mechanism-aware policy",2.15625
"Gemma","g077_closure_override",77,"No intervention",-0.8828125
"Gemma","g077_closure_override",77,"Mechanism-aware policy",-0.375
"Gemma","g077_exception_override",77,"No intervention",-1.3984375
"Gemma","g077_exception_override",77,"Mechanism-aware policy",-0.7109375
"Gemma","g079_closure_update",79,"No intervention",1.4140625
"Gemma","g079_closure_update",79,"Mechanism-aware policy",1.4375
"Gemma","g079_closure_override",79,"No intervention",-2.0546875
"Gemma","g079_closure_override",79,"Mechanism-aware policy",-0.921875
"Gemma","g079_exception_override",79,"No intervention",-2.8125
"Gemma","g079_exception_override",79,"Mechanism-aware policy",-1.8125
"Gemma","g080_closure_update",80,"No intervention",0.203125
"Gemma","g080_closure_update",80,"Mechanism-aware policy",0.2265625
"Gemma","g080_closure_override",80,"No intervention",-2.359375
"Gemma","g080_closure_override",80,"Mechanism-aware policy",-1.625
"Gemma","g080_exception_override",80,"No intervention",-1.65625
"Gemma","g080_exception_override",80,"Mechanism-aware policy",-1.265625
"Gemma","g085_closure_update",85,"No intervention",1.40625
"Gemma","g085_closure_update",85,"Mechanism-aware policy",1.5859375
"Gemma","g085_closure_override",85,"No intervention",-2.625
"Gemma","g085_closure_override",85,"Mechanism-aware policy",-1.4140625
"Gemma","g085_exception_override",85,"No intervention",-3.203125
"Gemma","g085_exception_override",85,"Mechanism-aware policy",-2
"Gemma","g088_closure_update",88,"No intervention",2.8046875
"Gemma","g088_closure_update",88,"Mechanism-aware policy",2.8828125
"Gemma","g088_closure_override",88,"No intervention",-0.8828125
"Gemma","g088_closure_override",88,"Mechanism-aware policy",-0.53125
"Gemma","g088_exception_override",88,"No intervention",-1.6953125
"Gemma","g088_exception_override",88,"Mechanism-aware policy",-0.9921875
"Gemma","g094_closure_update",94,"No intervention",3.0703125
"Gemma","g094_closure_update",94,"Mechanism-aware policy",3.3203125
"Gemma","g094_closure_override",94,"No intervention",-0.9453125
"Gemma","g094_closure_override",94,"Mechanism-aware policy",-0.046875
"Gemma","g094_exception_override",94,"No intervention",-1.4140625
"Gemma","g094_exception_override",94,"Mechanism-aware policy",-0.625
